vocabulary,no of sentences,no of sets,ngram,depth for 30%_reduction,depth for 60% reduction,root entropy,no leaf nodes
2000,1000,50,6,16,25,4.3396093361,6836
2000,1000,50,11,15,21,4.3408025518,4902
5000,1000,50,6,17,27,4.6474988691,6351
5000,1000,50,11,16,24,4.6510908987,4977
9000,1000,50,6,17,27,4.6300292154,6371
9000,1000,50,11,17,26,4.6326216819,4972
2000,1000,300,6,16,28,5.6798742619,5849
2000,1000,300,11,13,20,5.6813491851,4395
5000,1000,300,6,16,27,6.066194075,5753
5000,1000,300,11,14,21,6.0658164011,4533
9000,1000,300,6,15,24,6.111497057,5644
9000,1000,300,11,14,19,6.1107988074,4590
2000,1000,700,6,14,24,6.1863631687,5622
2000,1000,700,11,12,16,6.1846144491,4126
5000,1000,700,6,15,28,6.7946905703,5175
5000,1000,700,11,13,18,6.7917565463,4256
9000,1000,700,6,16,28,6.9227846245,5108
9000,1000,700,11,13,20,6.9185621065,4218
2000,9000,50,6,24,36,4.3703751739,45997
2000,9000,50,11,22,32,4.3670661118,34470
5000,9000,50,6,24,36,4.6439682308,43560
5000,9000,50,11,22,33,4.6431172424,35252
9000,9000,50,6,23,36,4.63520828,44224
9000,9000,50,11,22,33,4.6343136878,35291
2000,9000,300,6,25,46,5.7579679596,34988
2000,9000,300,11,20,34,5.7516796309,29886
5000,9000,300,6,25,47,6.117999925,35793
5000,9000,300,11,21,35,6.1129500769,31031
9000,9000,300,6,25,44,6.1644730026,35809
9000,9000,300,11,21,33,6.1610425182,31164
2000,9000,700,6,23,45,6.3022561505,32395
2000,9000,700,11,18,33,6.2941126117,27858
5000,9000,700,6,26,50,6.8978849341,32585
5000,9000,700,11,21,37,6.8904503492,28770
9000,9000,700,6,25,48,7.0222412379,32519
9000,9000,700,11,20,37,7.016708471,28644
